Core Set,Expansion,Compilation/Reprint set,Starter,Un-Set,Supplemental,,,,,,,,,
Set Name,Date Released,Notes,English,Italian,French,German,Spanish,Portuguese,Japanese,Chinese (Trad),Chinese (Simp),Russian,Korean,
Innistrad,2011-09-30,"Gothic Horror theme based in US and Western Europe much like Gothic novels of the 18th and 19th Centuries. Multiple locations with ""wald"" (german for forest) like the Somberwald and the Ulvenwald (which contains Ulven, which appears to be Dannish for Wolf)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Dark Ascension,2012-02-03,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Avacyn Restored,2012-05-04,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Magic 2013,2012-07-13,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Return to Ravnica,2012-10-05,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Gatecrash,2013-02-01,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Dragon's Maze,2013-05-03,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Modern Masters,2013-06-07,Only English but distributed worldwide,Yes,No,No,No,No,No,No,No,No,No,No,
Magic 2014,2013-07-19,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Set Name,Date Released,Notes,English,Italian,French,German,Spanish,Portuguese,Japanese,Chinese (Trad),Chinese (Simp),Russian,Korean,
Theros,2013-09-27,"Ancient Greek flavor, prerelease - five hero cards only in English?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Born of the Gods,2014-02-07,5 hero cards - only English?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Journey into Nyx,2014-05-02,5 Equipement cards - only in English? ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Conspiracy,2014-06-06,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Magic 2015,2014-07-18,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Khans of Tarkir,2014-09-26,Each clan has a different real world cultural inspiration. ** find later,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Fate Reforged,2015-01-23,Jeskai - Chinese Shaolin Monks ; Abzan - Ottoman Turks ; Sultai - Khmer Empire ; Mardu - Mongol Hordes ; Temur - shamanistic Siberian culture ??? *=(https://magic.wizards.com/en/articles/archive/feature/pax-australia-magic-panel-2014-11-07),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Dragons of Tarkir,2015-03-27,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Modern Masters 2015,2015-05-22,English language cards sold in recyclable paperboard: https://magic.wizards.com/en/articles/archive/arcana/recyclable-modern-masters-packaging-2015-02-24,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Magic Origins,2015-07-17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Battle of Zendikar,2015-10-02,The website style changes here and the infromation is in a different location.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Zendikar Expeditions,2015-10-02,,Yes,No,No,No,No,No,No,No,No,No,No,
Oath of the Gatewatch,2016-01-22,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Shadows over Innistrad,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Eternal Masters,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Eldritch Moon,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Conspiracy: Take the Crown,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Kaladesh,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Kaladesh Inventions,,,Yes,No,No,No,No,No,No,No,No,No,No,
Aethor Revolt,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Modern Masters 2017,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Set Name,Date Released,Notes,English,Italian,French,German,Spanish,Portuguese,Japanese,Chinese (Trad),Chinese (Simp),Russian,Korean,
Amonkhet,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Amonkhet Invocations,,,Yes,No,No,No,No,No,No,No,No,No,No,
Hour of Devastation,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Ixalan,,Can't find any more language information on the official website.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Iconic Masters,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Unstable,,,Yes,No,No,No,No,No,No,No,No,No,No,
Rivals of Ixalan,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Masters 25,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Dominaria,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Battlebond,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,
Magic 2019,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Guilds of Ravnica,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Ravnica Mythic Edition,,,Yes,No,No,No,No,No,No,No,No,No,No,
Ultimate Masters,,,Yes,No,No,No,No,No,Yes,No,No,No,No,*** Double check this later
Ravnica Allegiance,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,86,75,73,72,72,69,69,42,55,33,17,
